dog_DogID,dog_Tattoo,dog_CallName,dog_LitterID,dog_BreederID,dog_DOB,dog_Sex,dog_StatusChangeDate,dog_SubStatusCode,dbc_DogBreedDescription,Dog_EndReasonText,dbcc_ColorDescription,ogr_RelationID,ogr_PersonID,ogr_DateStart,ogr_DateEnd,ogr_DateRefused,Relationship_Description
15018,11FF09,Frankie,FF09,7105,6/4/09,M,12/13/13,98,Labrador Retriever,BRD retire genetic reason,Black,37931,18843,8/30/09,11/16/10,,Puppy Raiser/primary
15073,9OO09,Olga,OO09,7105,7/9/09,F,12/12/11,98,Labrador Retriever,Dog health problem,Yellow,37954,1308,9/10/09,11/16/10,,Puppy Raiser/primary
13854,2B08,Babe,B08,7105,1/9/08,F,11/30/12,98,Labrador Retriever,BRD retire genetic reason,Black,38052,21026,9/28/09,11/30/12,,Foster for breeding dog
10153,5Q403,Quint,Q403,7105,12/28/03,M,9/29/09,98,Labrador Retriever,BRD retire genetic reason,Black,38061,13698,9/29/09,,,Adopter of dog
15018,11FF09,Frankie,FF09,7105,6/4/09,M,12/13/13,98,Labrador Retriever,BRD retire genetic reason,Black,38062,10279,8/30/09,,,Veterinary sponsor for pups
13866,4D08,Delight,D08,7105,1/13/08,F,5/3/13,98,Labrador Retriever,Dog health problem,Black,38064,1717,9/25/09,5/3/13,,Foster for breeding dog
14795,6I09,Innsbrook,I09,7105,2/16/09,M,6/28/11,98,Labrador Retriever,BRD retire genetic reason,Black,38127,5649,10/22/09,6/22/10,,Puppy Raiser/primary
13860,8B08,Bamboo,B08,7105,1/9/08,F,4/2/14,98,Labrador Retriever,Dog age-too old for reuse,Yellow,38133,20744,10/12/09,3/20/12,,Foster for breeding dog
7790,9U300,Umber,U300,7105,10/6/00,M,10/6/09,98,Labrador Retriever,Dog age-too old for reuse,Black,38137,10419,10/6/09,,,Adopter of dog
11501,4ZZ05,Zola,ZZ05,7105,7/23/05,F,10/12/09,98,Labrador Retriever,BRD retire genetic reason,Yellow,38138,5569,10/12/09,,,Adopter of dog
15147,2E309,Este,E309,7105,9/4/09,F,10/6/11,98,German Shepherd,Dog health problem,Black/tan,38254,10367,10/29/09,1/4/11,,Puppy Raiser/primary
15134,4D309,Devin,D309,7105,8/22/09,M,5/2/14,98,German Shepherd,BRD retire genetic reason,Black/tan,38255,8918,10/29/09,2/8/11,,Puppy Raiser/primary
15354,3A409,Adria,A409,7105,11/21/09,F,7/29/14,98,Labrador Retriever,Dog age-too old for reuse,Yellow,38864,16492,2/3/10,5/10/11,,Puppy Raiser/primary
15354,3A409,Adria,A409,7105,11/21/09,F,7/29/14,98,Labrador Retriever,Dog age-too old for reuse,Yellow,38869,7627,2/2/10,,,Veterinary sponsor for pups
12099,4GG06,Glitter,GG06,7105,4/18/06,F,9/26/11,98,Labrador Retriever,Dog age-too old for reuse,Yellow,38905,5860,2/5/10,9/26/11,,Foster for breeding dog
13944,2N08,Nessie,N08,7105,2/23/08,F,4/10/13,98,German Shepherd,BRD retire genetic reason,Black/tan,38907,4009,12/8/09,4/10/13,,Foster for breeding dog
15010,3FF09,Fresca,FF09,7105,6/4/09,F,10/22/14,98,Labrador Retriever,Dog age-too old for reuse,Yellow,41255,8330,3/10/11,10/22/14,,Foster for breeding dog
14803,4J09,Jack,J09,7105,2/20/09,M,3/3/15,98,German Shepherd,BRD retire genetic reason,Sable,41258,22044,3/11/11,3/3/15,,Foster for breeding dog
